Population density,Distance to street,Rainfall,Temperature,Wind speed,Wind direction,Distance to industrial,Humidity,Elevation,Traffic volume,Land surface temperature (LST),Normalized difference vegetation index (NDVI),Distance to transportation,PM2.5
38.2981,90,345.716,16.4581,1.70283,221.506,30,39.7474,1119,88.65595928,60.7087,0.0544518,358.0502625,1
425.683,30,307.127,17.0268,1.9935,229.143,573.149,38.1223,1169,8.08466109,59.6282,0.113662,191.0497284,1
0,30,283.002,17.3279,2.22315,233.734,607.454,37.1235,1198,1628.967024,59.8371,0.061407,92.1954422,1
654.485,150,264.441,17.3293,2.5837,239.577,123.693,36.6176,1134,52.28418075,59.827,0.0296788,275.136322,1
0,394.588,246.895,17.5821,2.67148,255.704,90,36.6982,1175,0,60.7976,0.0377318,1018.675598,1
5.00844,180,254.19,17.3926,2.71568,244.387,201.246,36.5172,1119,0,60.6776,0.0775388,210.2379608,1
0,0,244.156,17.4949,2.86124,243.265,60,35.7409,1137,535.1323678,60.1066,0.287196,331.2098999,1
108.285,94.8683,296.635,17.1931,2.04932,235.545,721.249,37.8558,1574,0,59.0884,0.17165,580.3447266,1
0,94.8683,289.549,17.5427,1.92558,229.431,150,37.0616,1427,4743.409355,59.6247,0.22396,128.0624847,1
392.499,60,303.835,17.1889,1.92575,230.172,626.418,37.9009,1355,0,59.4193,0.057978,504.4799194,1
0,150,318.522,16.8425,1.91533,231.111,361.248,38.7364,1344,910.9090381,59.4952,0.0985549,371.6180725,1
2.14605,150,291.353,17.3972,1.99643,232.656,865.852,37.386,1537,121.6087088,60.2903,0.174082,164.0121918,1
5.95753,108.167,337.094,16.6115,1.75129,222.914,120,39.3172,1151,0,59.7172,0.568784,184.3908844,1
0,90,268.757,17.3326,2.4995,237.994,450.999,36.7011,1150,1971.828622,59.7248,0.0392147,455.4118958,1
485.989,42.4264,337.085,16.5038,1.81118,224.814,30,39.6604,1102,2073.952624,59.8831,0.0484419,314.0063782,1
4.35912,502.892,233.362,17.5805,3.027,243.094,540,35.0703,1167,0,60.4352,0.294783,504.4799194,1
4.35912,108.167,231.807,17.5919,3.05214,242.961,543.323,34.9676,1187,1199.543931,60.6933,0.193753,240.2082367,1
7.71446,218.403,242.151,17.5696,2.82042,248.366,305.941,35.8851,1217,0,61.1804,0.0190007,457.9301147,1
173.398,127.279,302.001,17.0379,2.06886,236.959,189.737,38.2118,1547,209.3094335,59.1476,0.234584,356.0898743,1
385.276,30,395.687,15.9054,1.21761,208.435,241.868,41.3389,1203,0,59.8778,0.0487371,260.1922302,1
500.572,30,392.487,15.9266,1.25801,209.849,84.8528,41.2698,1211,0,59.9171,0.0694985,145.6022034,1
61.7143,30,307.796,17.0721,1.9457,228.4,218.403,38.0782,1188,964.3201005,59.8497,0.119847,530,1
0,30,272.887,17.4741,2.30783,235.083,550.727,36.6417,1225,2092.374038,59.6297,0.0375749,388.9729919,1
180.111,617.738,252.729,17.4122,2.74228,243.085,182.483,36.2729,1126,0,59.9559,0.07665,272.0294189,1
0,30,247.93,17.5462,2.75249,241.022,90,35.7077,1220,8852.228449,60.4881,0.0828638,280.7133789,1
677.059,30,265.257,17.5391,2.40805,236.674,276.586,36.3263,1238,8714.225894,60.107,0.15661,530.7541504,1
0,42.4264,315.315,16.8695,1.95948,228.034,241.868,38.5223,1148,4499.743577,59.8165,0.0420726,457.0557861,1
11.329,268.328,340.489,16.5473,1.73574,222.374,0,39.4864,1135,0,59.898,0.0340039,304.7950134,1
511.576,60,347.497,16.4116,1.69805,221.566,60,39.9065,1108,1076.497607,59.9028,0.0246951,108.1665421,1
0.830613,90,354.178,16.3187,1.63872,220.194,150,40.2129,1095,0,60.5896,0.296151,963.3794556,1
534.746,134.164,351.844,16.2999,1.67479,221.72,212.132,40.3548,1078,40.95999063,60.1167,0.0468203,771.038269,1
0,0,346.799,16.3174,1.7333,223.747,67.082,40.3925,1061,0,59.9714,0.519773,58.30952072,1
78.9601,30,325.85,16.5566,1.94241,229.391,394.588,39.6849,1062,831.9216433,60.3703,0.0392229,276.5863342,1
622.414,90,321.684,16.6594,1.97225,229.15,241.868,39.2072,1097,0,59.6213,0.082357,166.4331665,1
1.88363,474.342,246.444,17.7527,2.49287,268.184,361.248,37.0921,1196,0,61.2852,0.0115676,1937.05957,1
170.366,618.466,270.027,17.4765,2.30866,246.3,241.868,37.1573,1604,0,60.0056,0.117388,545.6188965,0
0,466.69,274.076,17.4618,2.25031,242.953,402.492,37.1762,1667,0,60.3481,-0.00429985,215.4065857,0
